throttle,left,right,speed,input_steering,input_throttle
0.173703,0.192718,0.093463,1.654727,1.0,1.0
0.25152,0.167264,0.066258,1.692415,0.0,0.0
1.0,0.151851,0.060745,1.672371,0.0,0.0
1.0,0.134306,0.075875,1.641455,-1.0,0.0
0.923891,0.136474,0.076687,1.707995,0.0,1.0
0.744856,0.141618,0.073261,1.847139,0.0,1.0
0.625585,0.139398,0.073409,1.983904,0.0,1.0
0.469742,0.134403,0.077992,2.084852,0.0,1.0
0.328431,0.1194,0.092771,1.985888,0.0,0.0
0.227914,0.099133,0.114273,1.845497,1.0,0.0
0.176484,0.202464,0.101428,1.623218,1.0,0.0
0.159489,0.214135,0.071345,1.424539,1.0,0.0
1.0,0.140773,0.071499,1.322022,0.0,1.0
1.0,0.123864,0.088651,1.392777,0.0,1.0
0.783061,0.139556,0.077272,1.479656,0.0,1.0
0.703949,0.146273,0.069362,1.570882,0.0,1.0
0.595251,0.149317,0.065452,1.660662,0.0,1.0
0.479329,0.14903,0.06408,1.752808,0.0,1.0
0.360817,0.142052,0.06937,1.718521,1.0,0.0
0.291745,0.120054,0.092298,1.607639,1.0,0.0
0.273013,0.084543,0.127918,1.490021,1.0,0.0
0.296735,0.067677,0.141484,1.347866,1.0,0.0
0.324229,0.05421,0.151542,1.340402,1.0,1.0
0.684647,0.047903,0.159456,1.368254,0.0,0.0
0.722019,0.033353,0.189134,1.409178,-1.0,1.0
0.514436,0.047936,0.158459,1.490866,-1.0,1.0
0.386173,0.070254,0.139072,1.581472,1.0,1.0
0.284365,0.077613,0.134402,1.660082,0.0,0.0
0.221178,0.091441,0.123758,1.538002,1.0,0.0
0.215827,0.093145,0.12256,1.344875,1.0,0.0
0.234045,0.070848,0.137449,1.168315,1.0,1.0
0.239325,0.05121,0.151202,1.198509,0.0,1.0
0.202045,0.089755,0.130267,1.294242,1.0,1.0
0.217867,0.089499,0.126195,1.32483,1.0,1.0
0.243238,0.075209,0.134013,1.359533,1.0,1.0
0.423815,0.072807,0.135804,1.434683,0.0,1.0
0.295388,0.12007,0.09778,1.573175,0.0,1.0
0.241605,0.131122,0.077902,1.63315,-1.0,0.0
0.210099,0.121822,0.094315,1.574315,-1.0,0.0
0.197275,0.105173,0.131546,1.435417,-1.0,1.0
0.222657,0.099249,0.1227,1.436381,-1.0,1.0
0.194691,0.096031,0.138942,1.534286,-1.0,1.0
0.170414,0.080578,1.0,1.596992,-1.0,1.0
0.134669,0.057193,0.293894,1.61206,-1.0,0.0
0.200679,0.035027,0.206177,1.384354,-1.0,0.0
0.345361,0.082878,0.131008,1.397424,1.0,1.0
0.551431,0.104821,0.109213,1.371225,1.0,0.0
0.251901,0.064697,0.171394,1.407767,-1.0,1.0
0.286385,0.071701,0.1394,1.523125,-1.0,0.0
0.314619,0.153296,0.078384,1.404853,-1.0,0.0
0.279263,0.191727,0.020343,1.392255,-1.0,1.0
0.502294,0.171804,0.008839,1.475336,0.0,1.0
0.314738,0.116906,0.10654,1.599676,1.0,1.0
0.213882,0.085044,0.127558,1.597671,1.0,0.0
0.172679,0.454024,0.107329,1.405068,1.0,0.0
0.155148,0.439228,0.089825,1.19576,1.0,0.0
0.172692,0.594995,0.094036,1.141069,1.0,1.0
0.199638,0.10712,0.114632,1.169155,1.0,1.0
0.345685,0.090008,0.125716,1.236418,0.0,1.0
0.302373,0.14297,0.089766,1.371251,1.0,1.0
0.758697,0.098947,0.118118,1.471153,0.0,1.0
0.618371,0.077954,0.141836,1.611608,0.0,1.0
0.457824,0.063869,0.153978,1.751746,-1.0,1.0
0.331035,0.049123,0.164483,1.884802,1.0,1.0
0.291027,0.023192,0.178634,1.809532,0.0,0.0
0.228838,0.060216,0.145153,1.622403,1.0,0.0
0.294823,0.10259,0.116201,1.402257,1.0,0.0
1.0,0.075734,0.139806,1.343016,-1.0,1.0
0.260385,0.146094,0.093265,1.456952,1.0,1.0
0.407164,0.164796,0.061958,1.583459,1.0,1.0
0.847026,0.158425,0.055128,1.717465,0.0,1.0
0.714473,0.156682,0.056124,1.855875,-1.0,1.0
0.525036,0.163168,0.052262,1.992925,0.0,1.0
0.416526,0.151769,0.057793,2.087248,1.0,1.0
0.378286,0.091703,0.147372,1.975626,0.0,0.0
0.255453,0.032323,0.171766,1.837946,1.0,0.0
0.203817,0.097138,0.131211,1.644508,1.0,0.0
0.290155,0.144191,0.090153,1.477343,1.0,1.0
0.995769,0.126127,0.087582,1.533966,0.0,1.0
0.883109,0.125612,0.08776,1.624693,0.0,1.0
0.781129,0.119063,0.093777,1.715505,-1.0,1.0
0.566042,0.129735,0.085466,1.807458,1.0,1.0
0.471159,0.124925,0.087805,1.897659,0.0,1.0
0.34875,0.11023,0.103254,1.965597,0.0,0.0
0.288623,0.081256,0.132561,1.814572,1.0,0.0
0.284439,0.061387,0.145739,1.599656,1.0,0.0
0.380872,0.048779,0.160094,1.403627,1.0,0.0
0.710454,0.024972,0.180921,1.417332,0.0,1.0
0.610435,0.040689,0.16442,1.505659,0.0,1.0
0.496087,0.058413,0.149996,1.596341,0.0,1.0
0.364229,0.076875,0.133888,1.688483,1.0,1.0
0.33801,0.051286,0.174454,1.679155,1.0,0.0
0.260228,0.026168,0.171167,1.560737,1.0,0.0
0.230245,0.030225,0.163749,1.379962,1.0,0.0
0.218801,0.046993,0.151894,1.198527,1.0,0.0
0.239355,0.041835,0.156832,1.164039,1.0,0.0
0.210544,0.063743,0.143383,1.237673,1.0,1.0
0.232642,0.062346,0.142752,1.277899,1.0,1.0
0.466651,0.054686,0.148197,1.338018,0.0,1.0
0.34928,0.12112,0.105558,1.473032,0.0,1.0
0.237502,0.130486,0.078441,1.592772,-1.0,0.0
0.219819,0.129868,0.079634,1.415269,-1.0,0.0
0.225991,0.127714,0.082918,1.369828,-1.0,1.0
0.262124,0.133001,0.075142,1.407964,0.0,1.0
0.224658,0.123595,0.08897,1.520209,-1.0,1.0
0.218217,0.12224,0.091322,1.559349,0.0,1.0
0.134447,0.080417,1.0,1.676086,-1.0,1.0
0.068266,0.024799,0.313119,1.682637,-1.0,0.0
0.725481,0.012997,0.176603,1.321499,-1.0,0.0
0.15104,0.245095,0.098188,1.334188,1.0,0.0
0.495417,0.147669,0.071916,1.231075,0.0,1.0
0.35552,0.138297,0.074458,1.364452,0.0,1.0
0.249308,0.13338,0.076241,1.501439,-1.0,1.0
0.235785,0.147132,0.055866,1.337996,-1.0,0.0
0.231247,0.154921,0.041474,1.322893,-1.0,1.0
0.353324,0.147732,0.05259,1.299638,0.0,1.0
0.274462,0.103809,0.114513,1.354684,1.0,0.0
0.298402,0.040994,0.183588,1.192053,1.0,0.0
0.219397,0.013015,0.172775,0.825632,-1.0,1.0
0.097583,0.253311,0.102217,0.921302,1.0,1.0
0.068334,0.30012,0.049186,0.830245,1.0,0.0
0.086098,0.419506,0.033544,1.025495,1.0,1.0
0.153172,1.0,0.049264,1.078524,1.0,1.0
0.139665,0.551866,0.062904,1.281617,1.0,1.0
0.195359,0.192283,0.059517,1.423117,1.0,1.0
0.861788,0.131966,0.076893,1.442958,0.0,1.0
0.757551,0.102159,0.116123,1.585606,-1.0,1.0
0.578081,0.080924,0.136978,1.719427,-1.0,1.0
0.345934,0.099002,0.11437,1.842716,0.0,1.0
0.274973,0.091052,0.121432,1.960794,1.0,1.0
0.233982,0.094627,0.119433,1.778045,1.0,0.0
0.216059,0.124094,0.108206,1.537755,1.0,0.0
0.436751,0.109788,0.105289,1.481128,1.0,1.0
1.0,0.093498,0.119832,1.592602,0.0,1.0
1.0,0.099657,0.113696,1.73385,-1.0,1.0
0.225552,0.181143,0.065141,1.851863,0.0,1.0
0.861666,0.153213,0.05276,1.945477,0.0,1.0
0.732892,0.118895,0.093601,2.064181,0.0,1.0
0.527172,0.094123,0.121299,2.116733,0.0,1.0
0.335432,0.084751,0.12915,2.098846,1.0,0.0
0.184192,0.140447,0.111025,1.973315,1.0,0.0
0.074325,0.5217,0.044357,1.754788,1.0,0.0
0.099484,0.260859,0.00299,0.86819,1.0,0.0
0.559479,0.138085,0.067317,0.918056,1.0,1.0
0.267666,0.091271,0.144748,1.119121,-1.0,1.0
1.0,0.10187,0.111575,1.327189,0.0,1.0
0.888609,0.108327,0.10547,1.44745,0.0,1.0
0.805892,0.109978,0.103509,1.590519,0.0,1.0
0.642819,0.113415,0.100617,1.72992,-1.0,1.0
0.087399,0.298673,0.039131,1.794182,1.0,1.0
0.477902,0.172889,0.014903,1.615171,0.0,1.0
0.361688,0.12193,0.090506,1.738166,0.0,1.0
0.294843,0.085423,0.129505,1.70911,0.0,0.0
0.283572,0.069125,0.13931,1.534166,1.0,0.0
0.475084,0.045235,0.169043,1.350794,0.0,1.0
0.684428,0.028888,0.174175,1.473164,1.0,1.0
0.047695,0.001364,0.265636,1.571817,-1.0,1.0
0.386843,0.032716,0.160445,1.543013,1.0,1.0
0.298237,0.095814,0.120015,1.680575,1.0,1.0
0.209893,0.129362,0.09721,1.780162,1.0,0.0
0.195877,0.143067,0.093148,1.548217,1.0,0.0
0.195085,0.139191,0.093723,1.327536,1.0,0.0
0.232527,0.0967,0.116991,1.212431,1.0,1.0
0.286892,0.051806,0.161143,1.253389,1.0,1.0
0.27671,0.019348,0.180256,1.351751,1.0,1.0
0.237864,0.033017,0.16123,1.441904,0.0,1.0
0.184157,0.153862,0.124262,1.543614,1.0,1.0
0.362635,0.148272,0.083526,1.581741,0.0,0.0
0.267308,0.154646,0.053354,1.45359,-1.0,0.0
0.266549,0.172411,0.026876,1.322271,0.0,1.0
0.199139,0.137641,0.074753,1.360255,-1.0,0.0
0.21586,0.121545,0.098101,1.31525,-1.0,1.0
0.25546,0.129768,0.079981,1.365479,0.0,1.0
0.181935,0.106566,0.154587,1.492727,-1.0,1.0
0.165805,0.086709,1.0,1.531682,-1.0,1.0
0.152709,0.064235,0.220499,1.388706,-1.0,0.0
0.693016,0.065116,0.146478,1.333446,0.0,1.0
0.608506,0.078264,0.13291,1.47023,0.0,1.0
0.480626,0.091851,0.120823,1.612329,0.0,1.0
0.345123,0.106212,0.107881,1.754135,-1.0,1.0
0.259422,0.135379,0.077352,1.754647,-1.0,0.0
0.204284,0.129457,0.08016,1.538419,-1.0,0.0
0.16719,0.106482,0.239208,1.152959,-1.0,1.0
0.359836,0.099197,0.126201,1.084187,0.0,1.0
0.276086,0.0695,0.15092,1.119108,0.0,1.0
0.198851,0.080592,0.134151,1.13625,1.0,0.0
0.222621,0.055917,0.147006,0.994832,1.0,0.0
0.260899,0.021288,0.167324,0.871771,0.0,1.0
0.202399,0.018448,0.166482,1.049173,1.0,1.0
0.169681,0.634996,0.138954,1.010415,1.0,0.0
0.200277,0.120777,0.129919,0.983049,1.0,1.0
0.376258,0.102107,0.116904,1.179097,0.0,1.0
0.629917,0.114175,0.100752,1.342619,0.0,0.0
0.711781,0.084554,0.137517,1.262713,0.0,0.0
